1737879373.9302835 CAN1, ID=0x605, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737879373.9333146 CAN1, ID=0x679, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737879373.950235 CAN1, ID=0x607, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737879373.9542234 CAN1, ID=0x603, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737879373.9752104 CAN1, ID=0x68c, DLC=1, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0
1737879373.982149 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0x0
1737879373.983148 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x0, 0x0, 0x80, 0x21, 0xb
1737879373.9841413 CAN1, ID=0x393, DLC=8, 0x0, 0x10, 0x0, 0x0, 0x20, 0x0, 0x0, 0x2
1737879373.9901261 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x2, 0x0, 0x0
1737879373.9911325 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0xe0, 0xca
1737879374.0001 CAN1, ID=0x1f2, DLC=8, 0x4, 0x64, 0x4, 0xa0, 0x0, 0x4, 0x1, 0x3
1737879374.0010974 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0xe0, 0xd
1737879374.003094 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0x55, 0x40, 0x0, 0x2, 0xc7
1737879374.0040884 CAN1, ID=0x54a, DLC=8, 0xa0, 0x80, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737879374.005088 CAN1, ID=0x481, DLC=2, 0x32, 0x0, 0x70, 0x2, 0x0, 0x0, 0x0, 0x2a
1737879374.0070796 CAN1, ID=0x54c, DLC=8, 0x59, 0xff, 0x0, 0x0, 0x0, 0xf8, 0xff, 0x0
1737879374.0080762 CAN1, ID=0x54f, DLC=8, 0x14, 0x0, 0x0, 0x0, 0x4, 0x40, 0xc0, 0x14
1737879374.0090735 CAN1, ID=0x54b, DLC=8, 0x10, 0x8, 0x80, 0x0, 0x4, 0x0, 0x0, 0x0
1737879374.0110676 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0xaa, 0x80, 0x0, 0x3, 0xd1
1737879374.012068 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0xe0, 0xc1
1737879374.0220807 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0xaa, 0xc0, 0x0, 0x0, 0x1c
1737879374.023038 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0xe0, 0x6
1737879374.0300188 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0x55, 0x0, 0x0, 0x1, 0xa
1737879374.032018 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0x0
1737879374.0330145 CAN1, ID=0x5a9, DLC=8, 0xff, 0xff, 0xfc, 0xff, 0xff, 0xf0, 0x0, 0x0
1737879374.0340064 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0xe0, 0xca
1737879374.0430207 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0x55, 0x40, 0x0, 0x2, 0xc7
1737879374.0440218 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0xe0, 0xd
1737879374.0499632 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0xaa, 0x80, 0x0, 0x3, 0xd1
1737879374.0509603 CAN1, ID=0x45e, DLC=1, 0x0, 0x40, 0x80, 0xaa, 0x80, 0x0, 0x3, 0xd1
1737879374.052958 CAN1, ID=0x5b9, DLC=7, 0x1, 0x68, 0x63, 0xa2, 0x28, 0x2d, 0x0, 0xd1
1737879374.0539548 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x82, 0x6, 0xe0, 0xc1
1737879374.0599794 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0xaa, 0xc0, 0x0, 0x0, 0x1c
1737879374.0609365 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0xc2, 0x6, 0xe0, 0x6
1737879374.0699103 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0x55, 0x0, 0x0, 0x1, 0xa
1737879374.0719063 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0xe0, 0xca
1737879374.0798876 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x80, 0x55, 0x40, 0x0, 0x2, 0xc7
1737879374.081881 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0xe1, 0x88
1737879374.082877 CAN1, ID=0x390, DLC=8, 0x4, 0x0, 0x0, 0x0, 0x0, 0x80, 0x21, 0x1c
1737879374.0838757 CAN1, ID=0x393, DLC=8, 0x0, 0x10, 0x0, 0x0, 0x20, 0x0, 0x0, 0x13
1737879374.0898592 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0xaa, 0x80, 0x0, 0x3, 0x7
